AÑ;TRIMESTRE;PROVEEDOR;COD DEPARTAMENTO;DEPARTAMENTO;COD MUNICIPIO;MUNICIPIO;CABECERA MUNICIPAL;COD CENTRO POBLADO;CENTRO POBLADO;COBERTURA 2G;COBERTURA 3G;COBERTURA HSPA+, HSPA+DC;COBERTUTA 4G;COBERTURA LTE;COBERTURA 5G
2018;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13160;CANTAGALLO;N;0;YANACU�;N;N;N;N;N;N
2016;4;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13549;PINILLOS;S;13549001;PINILLOS;S;S;S;N;N;N
2018;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430036;PLAYA DE LAS FLORES;S;N;N;N;N;N
2016;3;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13836;TURBACO;S;13836001;TURBACO;S;S;S;N;S;N
2016;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;N;0;CACAO;N;N;N;N;N;N
2017;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430039;BOCA DE GUAMAL;N;N;N;N;N;N
2015;4;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13300;HATILLO DE LOBA;S;13300001;HATILLO DE LOBA;S;S;S;N;N;N
2017;1;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8078;BARANOA;N;8078002;PITAL;N;N;N;N;N;N
2016;1;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;8;ATLÁNTIC;8573;PUERTO COLOMBIA;S;8573001;PUERTO COLOMBIA;S;S;S;N;S;N
2016;4;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8638;SABANALARGA;N;8638008;GALLEGO;N;N;N;N;N;N
2020;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13836;TURBACO;N;13836001;CAÑAVERA;S;S;S;N;S;N
2017;3;AVANTEL S.A.S;13;BOLÍVA;13473;MORALES;S;13473001;MORALES;N;N;N;N;N;N
2018;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;S;13244001;EL CARMEN DE BOLÍVA;S;S;S;N;N;N
2020;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13780;TALAIGUA NUEVO;N;13780023;TALAIGUA VIEJO;S;S;S;N;S;N
2018;2;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;S;13244001;EL CARMEN DE BOLÍVA;S;S;S;N;N;N
2020;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13160;CANTAGALLO;N;13160017;NO HAY COMO DIOS;N;N;N;N;N;N
2020;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13001;CARTAGENA;N;13001004;BAYUNCA;S;S;N;N;N;N
2020;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;N;13244014;SANTA LUCÍ;S;S;S;N;N;N
2016;3;ALMACENES EXITO INVERSIONES S.A.S.;8;ATLÁNTIC;8558;POLONUEVO;N;8558001;PITAL DEL CARLÍN (PITALITO;S;S;S;N;N;N
2016;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13744;SIMIT�;N;13744017;PARAÍS;N;N;N;N;N;N
2018;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13006;ACH�;N;0;PALENQUILLO;N;N;N;N;N;N
2018;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13673;SANTA CATALINA;N;13673005;LOMA DE ARENA;S;S;N;N;N;N
2016;2;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8137;CAMPO DE LA CRUZ;N;8137001;BOHÓRQUE;S;S;N;N;N;N
2018;3;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13433;MAHATES;N;13433004;SAN BASILIO DE PALENQUE;N;S;S;N;N;N
2016;4;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8573;PUERTO COLOMBIA;N;0;LAGOS DE CAUJARAL;S;S;S;N;N;N
2018;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13780;TALAIGUA NUEVO;N;13780023;TALAIGUA VIEJO;S;S;N;N;S;N
2018;4;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8436;MANAT�;N;8436001;EL PORVENIR (LAS COMPUERTAS);N;N;N;N;N;N
2016;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13810;TIQUISIO;N;13810008;PUERTO COCA;N;N;N;N;N;N
2020;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13549;PINILLOS;S;13549001;PINILLOS;S;S;S;N;S;N
2019;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13001;CARTAGENA;N;13001002;ARROYO GRANDE;N;S;N;N;N;N
2020;1;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13657;SAN JUAN NEPOMUCENO;S;13657001;SAN JUAN NEPOMUCENO;S;S;S;N;S;N
2020;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13440;MARGARITA;N;13440008;SANDOVAL;S;S;S;N;N;N
2015;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13160;CANTAGALLO;N;0;LA NUTRIA;N;N;N;N;N;N
2018;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13838;TURBAN�;N;13838001;BALLESTAS;N;N;N;N;N;N
2020;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13600;RÍO VIEJ;S;13600001;RÍO VIEJ;S;S;S;N;S;N
2017;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;N;13442023;EL SENA;N;N;N;N;N;N
2020;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13468;SANTA CRUZ DE MOMPOX;N;13468038;SANTA ELENA;N;N;N;N;N;N
2017;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;N;13442007;SAN JOSÉ DEL PLAY�;N;N;N;N;N;N
2016;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13212;CÓRDOB;N;13212013;SANAHUARE;N;N;N;N;N;N
2020;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13894;ZAMBRANO;S;13894001;ZAMBRANO;S;S;S;N;S;N
2016;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13468;SANTA CRUZ DE MOMPOX;N;13468014;LAS BOQUILLAS;N;N;N;N;N;N
2020;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13549;PINILLOS;N;13549025;LOS LIMONES;N;N;N;N;N;N
2019;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13549;PINILLOS;N;0;RUFINA PUERTO NUEVO;N;N;N;N;N;N
2016;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13810;TIQUISIO;N;13810006;LA VENTURA;N;N;N;N;N;N
2019;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13433;MAHATES;N;13433009;MANDINGA;N;N;N;N;N;N
2017;2;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13430;MAGANGU�;N;13430013;JUAN ARIAS;N;S;S;N;N;N
2017;1;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8141;CANDELARIA;N;8141001;SAN JOSÉ DEL CARRETA;N;N;N;N;N;N
2016;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13458;MONTECRISTO;N;13458002;EL DORADO;S;N;N;N;N;N
2017;4;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13647;SAN ESTANISLAO;S;13647001;SAN ESTANISLAO;S;S;S;N;N;N
2017;1;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13222;CLEMENCIA;S;13222001;CLEMENCIA;S;S;S;N;N;N
2016;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13222;CLEMENCIA;S;13222001;CLEMENCIA;S;S;S;N;N;N
2018;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13006;ACH�;N;13006015;TACUYALTA;N;N;N;N;N;N
2016;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13188;CICUCO;N;13188005;PUEBLO NUEVO;N;N;N;N;N;N
2020;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13188;CICUCO;N;13188005;PUEBLO NUEVO;N;N;N;N;N;N
2019;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001033;MEMBRILLAL;S;S;S;N;S;N
2018;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13657;SAN JUAN NEPOMUCENO;N;13657004;SAN AGUSTÍ;S;S;N;N;N;N
2019;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001028;LAS EUROPAS;S;S;S;N;S;N
2019;4;AVANTEL S.A.S;13;BOLÍVA;13440;MARGARITA;S;13440001;MARGARITA;N;N;N;N;N;N
2016;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430015;LA VENTURA;N;N;N;N;N;N
2020;3;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8141;CANDELARIA;N;8141002;BUENAVENTURA DE LEÑ;S;N;N;N;N;N
2018;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;N;13442026;MARQUEZ;S;S;N;N;N;N
2018;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13006;ACH�;N;13006019;PAYAND�;N;N;N;N;N;N
2019;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8078;BARANOA;N;8078003;SIBARCO;S;S;N;N;N;N
2020;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;N;13244019;ARROYO ARENA;S;N;N;N;N;N
2020;3;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;8;ATLÁNTIC;8558;POLONUEVO;S;8558001;POLONUEVO;N;N;N;N;S;N
2020;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8758;SOLEDAD;S;8758001;SOLEDAD;S;S;N;N;S;N
2018;4;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8638;SABANALARGA;N;8638006;MOLINERO;S;S;S;N;N;N
2020;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13433;MAHATES;N;13433003;MALAGANA;S;S;S;N;S;N
2017;3;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8433;MALAMBO;N;8433005;PITALITO;S;N;N;N;N;N
2019;4;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13673;SANTA CATALINA;N;13673003;GALERAZAMBA;S;N;N;N;N;N
2016;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430051;SAN ANTOÑIT;N;N;N;N;N;N
2017;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13780;TALAIGUA NUEVO;N;13780017;PATICO;N;N;N;N;N;N
2019;1;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8436;MANAT�;S;8436001;MANAT�;S;S;S;N;N;N
2018;2;AVANTEL S.A.S;8;ATLÁNTIC;8520;PALMAR DE VARELA;S;8520001;PALMAR DE VARELA;S;N;N;N;N;N
2016;3;ALMACENES EXITO INVERSIONES S.A.S.;13;BOLÍVA;13810;TIQUISIO;S;13810001;TIQUISIO;S;S;S;N;N;N
2017;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13468;SANTA CRUZ DE MOMPOX;N;13468030;LA TRAVESÍ;N;N;N;N;N;N
2016;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;S;13244001;EL CARMEN DE BOLÍVA;S;S;S;N;N;N
2016;3;ALMACENES EXITO INVERSIONES S.A.S.;13;BOLÍVA;13430;MAGANGU�;N;13430013;JUAN ARIAS;N;S;S;N;N;N
2017;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13042;ARENAL;N;13042003;SAN RAFAEL;N;N;N;N;N;N
2020;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13248;EL GUAMO;N;13248003;NERVIT�;S;N;N;N;N;N
2019;3;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8520;PALMAR DE VARELA;S;8520001;PALMAR DE VARELA;S;S;S;N;S;N
2015;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13647;SAN ESTANISLAO;N;13647002;LAS PIEDRAS;S;N;N;N;N;N
2016;2;AVANTEL S.A.S;8;ATLÁNTIC;8560;PONEDERA;S;8560001;PONEDERA;S;N;N;N;N;N
2019;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430021;SAN RAFAEL DE CORTINA;S;S;S;N;N;N
2019;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13670;SAN PABLO;N;0;SAN JUAN ALTO;N;N;N;N;N;N
2018;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13654;SAN JACINTO;N;13654008;LAS MERCEDES;N;N;N;N;N;N
2020;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430036;PLAYA DE LAS FLORES;S;N;N;N;N;N
2017;2;AVANTEL S.A.S;8;ATLÁNTIC;8606;REPELÓ;S;8606001;REPELÓ;N;N;N;N;N;N
2016;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13062;ARROYOHONDO;N;13062006;SAN FRANCISCO (SOLABANDA);N;N;N;N;N;N
2017;1;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13052;ARJONA;S;13052001;ARJONA;S;S;S;N;S;N
2017;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13030;ALTOS DEL ROSARIO;N;13030004;SANTA LUCÍ;N;N;N;N;N;N
2016;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001016;LETICIA;S;N;N;N;N;N
2020;2;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8560;PONEDERA;N;0;CASCAJAL;S;S;S;N;S;N
2019;1;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13440;MARGARITA;S;13440001;MARGARITA;N;N;N;N;N;N
2019;1;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13440;MARGARITA;S;13440001;MARGARITA;S;S;S;N;N;N
2016;1;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8141;CANDELARIA;S;8141001;CANDELARIA;S;S;S;N;N;N
2019;1;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8558;POLONUEVO;S;8558001;POLONUEVO;S;S;S;N;N;N
2020;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001012;SANTA ANA;S;N;N;N;N;N
2019;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13667;SAN MARTÍN DE LOB;N;13667014;PUEBLO NUEVO CERRO DE JULIO;N;N;N;N;N;N
2019;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;N;13244014;SANTA LUCÍ;S;S;S;N;N;N
2019;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13300;HATILLO DE LOBA;N;13300008;LAS BRISAS;N;N;N;N;N;N
2020;1;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8638;SABANALARGA;N;8638005;LA PEÑ;S;S;S;N;N;N
2015;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13650;SAN FERNANDO;N;13650014;LAS CUEVAS;N;N;N;N;N;N
2020;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13580;REGIDOR;N;13580003;LOS CAIMANES;N;N;N;N;N;N
2020;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13248;EL GUAMO;S;13248001;EL GUAMO;S;S;S;N;S;N
2020;1;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8436;MANAT�;N;8436001;EL PORVENIR (LAS COMPUERTAS);S;S;S;N;S;N
2018;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13468;SANTA CRUZ DE MOMPOX;N;0;SAN MARTÍ;N;N;N;N;N;N
2018;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13810;TIQUISIO;N;0;AGUAS NEGRAS;N;N;N;N;N;N
2017;2;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;8;ATLÁNTIC;8638;SABANALARGA;N;8638004;ISABEL LÓPE;S;S;S;N;N;N
2018;3;AVANTEL S.A.S;13;BOLÍVA;13688;SANTA ROSA DEL SUR;S;13688001;SANTA ROSA DEL SUR;N;N;N;N;N;N
2016;2;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13001;CARTAGENA;N;13001004;BAYUNCA;S;S;S;N;N;N
2018;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;N;0;PUERTO SANTANDER;S;S;N;N;N;N
2016;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13670;SAN PABLO;N;13670020;LOS CAGUISES;N;N;N;N;N;N
2017;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8372;JUAN DE ACOSTA;N;8372004;SANTA VERÓNIC;S;S;N;N;N;N
2016;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13222;CLEMENCIA;N;13222001;LAS CARAS;N;N;N;N;N;N
2015;4;ALMACENES EXITO INVERSIONES S.A.S.;13;BOLÍVA;13001;CARTAGENA;N;13001001;ARROYO DE PIEDRA;N;S;N;N;N;N
2019;4;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13657;SAN JUAN NEPOMUCENO;S;13657001;SAN JUAN NEPOMUCENO;S;S;N;N;S;N
2016;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13006;ACH�;N;0;RÍO NEGR;N;N;N;N;N;N
2017;4;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8558;POLONUEVO;N;8558001;PITAL DEL CARLÍN (PITALITO;S;S;S;N;N;N
2016;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;N;13442003;FLAMENCO;N;N;N;N;N;N
2019;4;AVANTEL S.A.S;13;BOLÍVA;13006;ACH�;S;13006001;ACH�;N;N;N;N;N;N
2020;2;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8573;PUERTO COLOMBIA;S;8573001;PUERTO COLOMBIA;S;S;S;N;S;N
2020;2;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8638;SABANALARGA;N;8638010;PATILLA;N;N;N;N;N;N
2018;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13780;TALAIGUA NUEVO;N;13780025;PEÑÓN DE DUR;N;N;N;N;N;N
2016;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13549;PINILLOS;S;13549001;PINILLOS;S;S;S;N;N;N
2018;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13440;MARGARITA;N;0;CAIMITAL;N;N;N;N;N;N
2019;1;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8549;PIOJ�;S;8549001;PIOJ�;S;S;S;N;N;N
2020;1;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13647;SAN ESTANISLAO;S;13647001;SAN ESTANISLAO;N;N;N;N;N;N
2017;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13654;SAN JACINTO;N;13654006;LAS CHARQUITAS;N;N;N;N;N;N
2016;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13650;SAN FERNANDO;N;13650004;PUNTA DE HORNOS;S;N;N;N;N;N
2020;4;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8638;SABANALARGA;S;8638001;SABANALARGA;S;S;S;N;S;N
2019;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13212;CÓRDOB;N;0;ISLA DE CÓRDOB;N;N;N;N;N;N
2019;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13248;EL GUAMO;S;13248001;EL GUAMO;S;S;S;N;S;N
2015;4;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8573;PUERTO COLOMBIA;N;0;URBANIZACIÓN BARRANQUILLA SPORT CLU;S;S;S;N;N;N
2020;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;S;13244001;EL CARMEN DE BOLÍVA;S;S;N;N;S;N
2018;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13836;TURBACO;S;13836001;TURBACO;S;S;N;N;S;N
2019;1;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;8;ATLÁNTIC;8078;BARANOA;N;8078002;PITAL;N;N;N;N;N;N
2016;1;ALMACENES EXITO INVERSIONES S.A.S.;13;BOLÍVA;13074;BARRANCO DE LOBA;S;13074001;BARRANCO DE LOBA;S;S;S;N;N;N
2018;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;N;13442024;LA CURVA;S;S;N;N;N;N
2019;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13673;SANTA CATALINA;N;13673003;GALERAZAMBA;S;S;S;N;S;N
2019;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13688;SANTA ROSA DEL SUR;N;13688015;SAN FRANCISCO;N;N;N;N;N;N
2016;2;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8421;LURUACO;N;8421003;LOS PENDALES;S;N;N;N;N;N
2018;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13744;SIMIT�;N;0;SANTA LUCÍ;S;N;N;N;N;N
2019;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;N;13244004;JESÚS DEL MONT;N;N;N;N;N;N
2019;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13549;PINILLOS;N;13549032;TAPOA;N;N;N;N;N;N
2019;2;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8770;SUAN;S;8770001;SUAN;S;S;S;N;S;N
2017;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430036;PLAYA DE LAS FLORES;S;N;N;N;N;N
2017;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13647;SAN ESTANISLAO;S;13647001;SAN ESTANISLAO;S;S;N;N;N;N
2018;3;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13212;CÓRDOB;S;13212001;CÓRDOB;S;S;S;N;N;N
2018;2;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8421;LURUACO;N;8421005;SANTA CRUZ;N;S;N;N;N;N
2019;1;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13838;TURBAN�;S;13838001;TURBAN�;N;N;N;N;S;N
2019;2;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13006;ACH�;S;13006001;ACH�;N;N;N;N;N;N
2017;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13688;SANTA ROSA DEL SUR;S;13688001;SANTA ROSA DEL SUR;S;S;S;N;N;N
2017;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13670;SAN PABLO;N;0;CAÑABRAVAL BAJ;N;N;N;N;N;N
2019;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13688;SANTA ROSA DEL SUR;N;13688015;SAN FRANCISCO;S;N;N;N;N;N
2018;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13468;SANTA CRUZ DE MOMPOX;N;13468013;LA RINCONADA;S;S;N;N;N;N
2017;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13006;ACH�;N;0;PALENQUILLO;N;N;N;N;N;N
2016;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;N;13244014;SANTA LUCÍ;N;N;N;N;N;N
2017;1;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13222;CLEMENCIA;S;13222001;CLEMENCIA;S;S;S;N;N;N
2019;2;COLOMBIA MOVIL  S.A ESP;8;ATLÁNTIC;8001;BARRANQUILLA;S;8001001;BARRANQUILLA;S;S;S;N;S;N
2017;3;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13442;MARÍA LA BAJ;S;13442001;MARÍA LA BAJ;S;S;N;N;N;N
2019;1;COLOMBIA MOVIL  S.A ESP;13;BOLÍVA;13442;MARÍA LA BAJ;S;13442001;MARÍA LA BAJ;S;S;S;N;N;N
2020;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13300;HATILLO DE LOBA;N;13300010;LAS PALMAS;N;N;N;N;N;N
2019;4;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;8;ATLÁNTIC;8421;LURUACO;N;8421001;ARROYO DE PIEDRA;S;S;N;N;N;N
2015;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001007;ISLA FUERTE;N;N;N;N;N;N
2018;2;COMUNICACION CELULAR S A COMCEL S A;8;ATLÁNTIC;8832;TUBAR�;S;8832001;TUBAR�;S;S;S;N;N;N
2017;2;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13433;MAHATES;N;13433004;SAN BASILIO DE PALENQUE;N;N;N;N;N;N
2020;1;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13430;MAGANGU�;N;13430011;HENEQUÉ;S;S;S;N;N;N
2019;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13244;EL CARMEN DE BOLÍVA;N;13244003;EL SALADO;S;S;N;N;N;N
2020;3;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13442;MARÍA LA BAJ;N;13442012;MATUYA;S;S;S;N;S;N
2019;2;COLOMBIA TELECOMUNICACIONES S.A. E.S.P.;13;BOLÍVA;13760;SOPLAVIENTO;S;13760001;SOPLAVIENTO;S;S;N;N;S;N
2017;2;EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP;13;BOLÍVA;13673;SANTA CATALINA;N;13673005;LOMA DE ARENA;S;S;S;N;N;N
2016;4;COMUNICACION CELULAR S A COMCEL S A;13;BOLÍVA;13001;CARTAGENA;N;13001003;BAR�;S;N;N;N;N;N
